"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_HEME_METABOLISM","HALLMARK_HEME_METABOLISM","HALLMARK_HEME_METABOLISM",189,-0.475118911700643,-2.03845209376823,3.28769132083312e-09,1.64384566041656e-07,1.14204014302624e-07,3848,"tags=38%, list=21%, signal=31%","Ctse/Isca1/Ftcd/Narf/Btrc/Tns1/Endod1/Pigq/Xk/Alad/Rhag/Sdcbp/Blvra/Alas2/Mospd1/Ackr1/Gmps/Tyr/Tspan5/Pcx/Osbp2/Lrp10/Cat/Tspo2/Htra2/Ctsb/Ermap/Ypel5/Cpox/Ppp2r5b/Epb42/Rcl1/Gapvd1/Cdr2/Mark3/Slc4a1/Slc2a1/Nudt4/Car1/Gde1/Tent5c/Nek7/Ccdc28a/Rnf123/Spta1/Urod/Klf1/Trim10/Slc25a37/Bpgm/Slc7a11/Ubac1/Ank1/Foxo3/Tfdp2/Slc25a38/Blvrb/Pgls/Slc66a2/Tfrc/Ncoa4/Map2k3/Lpin2/Snca/Gypa/Hmbs/Car2/Tmcc2/Dmtn/Sptb/Adipor1/Hbb-bt"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",89,-0.532144392415289,-2.07675463919501,2.91003487866966e-07,7.27508719667414e-06,5.05427110505783e-06,2822,"tags=44%, list=15%, signal=37%","Cxcl10/Gmpr/H2-Q7/Elf1/Txnip/Trim25/Trafd1/Trim5/Irf2/Usp18/Tent5a/Stat2/B2m/Slc25a28/Irf9/Ifitm2/Sell/Helz2/Casp8/Uba7/Eif2ak2/Trim26/Nub1/Psma3/Ube2l6/Ifitm1/Tap1/Il4ra/Psmb8/Ripk2/Ly6e/Ccrl2/Lpar6/Cmtr1/Adar/Trim21/Psme1/Cd74/Cd47"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",179,-0.447186097471263,-1.90896985463374,5.9502040135536e-07,9.917006689256e-06,6.88970991043049e-06,4051,"tags=37%, list=22%, signal=30%","Asf1b/Cdkn1b/Cenpe/Psip1/Ncapd2/Tbrg4/Stag1/Eed/Racgap1/Melk/Aurkb/Dlgap5/Suv39h1/Rfc2/Orc6/Mlh1/Bard1/Exosc8/Wee1/Mcm3/Pole4/Lig1/Trp53/Xpo1/Pms2/Zw10/Hmmr/Bub1b/Prps1/Dek/Cdca8/Luc7l3/Shmt1/Rnaseh2a/Tcf19/Tipin/Ubr7/Mcm2/Birc5/Mybl2/Pttg1/Spc25/Aurka/Rad1/Nasp/Rfc1/Ran/Gins1/Rpa3/Cdkn3/Srsf1/Plk4/Hnrnpd/Mcm5/Pds5b/Tfrc/Slbp/Tmpo/Mki67/Syncrip/Kif22/Cdk1/Pola2/Ak2/Ppm1d/H2az1/Cdk4"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",183,-0.431501274992184,-1.84542740560577,1.35170999986538e-06,1.68963749983173e-05,1.17385342093573e-05,2131,"tags=27%, list=11%, signal=24%","Mapk14/Prmt5/Hmmr/Ccnf/Bub3/Casp8ap2/Marcks/Hnrnpu/Ncl/Odf2/E2f4/Cul1/Mcm2/Birc5/Mybl2/Dkc1/Stil/Chaf1a/Pttg1/Numa1/Foxn3/Aurka/Meis1/Kpnb1/E2f3/Nasp/Smad3/Tpx2/Nsd2/Sfpq/Cdc45/Cdkn3/Srsf1/Plk4/Pura/Hnrnpd/Mcm5/Pds5b/Traip/Prc1/Tmpo/Arid4a/Mki67/Syncrip/Kif22/Cdk1/Cenpa/Pola2/H2az1/Cdk4"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",160,-0.380998790673079,-1.60819932704069,0.00108122625181074,0.0085351076803265,0.00592965375685841,2143,"tags=21%, list=11%, signal=19%","Rfc4/Psmc6/Dek/Bub3/Eef1b2/Hnrnpu/Cul1/Mcm2/Snrpg/Exosc7/Kpnb1/Etf1/Eprs/U2af1/Psma1/Ran/Cops5/Cad/Cdc45/Srsf1/Lsm2/Hnrnpd/Mcm5/Got2/Cnbp/Psmb3/Cyc1/Vbp1/Hnrnpa2b1/Syncrip/Rack1/Cct2/H2az1/Cdk4"
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION",177,-0.371099482760916,-1.58311230929421,0.000904029598615295,0.0085351076803265,0.00592965375685841,2230,"tags=23%, list=12%, signal=20%","Map4k1/Dyrk3/B2m/Tlr3/Thy1/H2-T23/Prf1/Itgb2/Lyn/Cd7/Elf4/Stat1/Il2rb/Eif4g3/Ccr2/Tgfb2/Gcnt1/Dars/Cd3e/Il2/H2-DMb1/Ctss/Tap1/Tlr6/St8sia4/Ccnd2/Abi1/Lck/Il4ra/Cd2/Ripk2/Srgn/Cd40/Akt1/Cd79a/H2-Ob/Mmp9/Ptprc/Cd74/Cd47"
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE",189,-0.361564034159714,-1.55125578947389,0.00119491507524571,0.0085351076803265,0.00592965375685841,4341,"tags=33%, list=23%, signal=26%","Dock4/Espl1/Kptn/Ckap5/Kif15/Cenpe/Ophn1/Capzb/Nin/Rhof/Cyth2/Dst/Alms1/Racgap1/Wasl/Kif5b/Dlgap5/Sun2/Kif3b/Rab3gap1/Tubgcp5/Kif1b/Vcl/Apc/Myo9b/Wasf2/Llgl1/Cep131/Myo1e/Dync1h1/Katnb1/Dynll2/Abr/Rabgap1/Marcks/Epb41l2/Tbcd/Cttn/Ezr/Klc1/Cenpj/Birc5/Arhgap5/Numa1/Aurka/Pif1/Stk38l/Tpx2/Rfc1/Abi1/Ranbp9/Myh9/Stau1/Tubgcp6/Arhgef7/Prc1/Arhgap4/Arfgef1/Pxn/Kif22/Cdk1/Cntrl/Arhgdia"
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",183,-0.350192701971298,-1.49769015044665,0.00380491179522657,0.023780698720166,0.0165213275319048,3127,"tags=27%, list=17%, signal=23%","Sla/Egln3/Rpn1/Atp5g1/Gmps/Rdh11/Xbp1/Calr/Ccng1/Phgdh/Nupr1/Cth/Dhfr/Psmd12/Vldlr/Coro1a/Psmc6/Slc6a6/Ccnf/Itgb2/Add3/G6pdx/Sdf2l1/Edem1/Gga2/P4ha1/Slc2a1/Psma3/Mcm2/Slc2a3/Aurka/Tbk1/Etf1/Eprs/Hspa4/Psmd13/Cops5/Actr3/Slc7a11/Hsp90b1/Rab1a/Gpi1/Scd1/Tfrc/Sytl2/Stip1/Map2k3/Hmbs/Slc1a5"
"HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP",189,-0.337146647934698,-1.4464953371977,0.00792647903503733,0.0440359946390963,0.0305934278545301,3394,"tags=27%, list=18%, signal=22%","Inhba/Serpina3m/Csf2ra/Traf1/Abcb1a/Spry2/Nrp1/Epb41l3/Anxa10/Map7/Irf8/Strn/Plvap/Vwa5a/Kif5c/Cbl/Adam8/Tnfrsf1b/Fgf9/Lcp1/Map4k1/Cidea/St6gal1/Etv4/Flt4/Itgb2/Gucy1a1/Akap12/Gpnmb/Cab39l/Cbr4/Spp1/Dusp6/Igfbp3/Rbm4/Ctss/Pdcd1lg2/Ccnd2/Ephb2/Wdr33/Bpgm/Ank/Emp1/Psmb8/Btbd3/Fcer1g/H2bc3/Car2/Map3k1/Mmp9/Satb1"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",103,-0.38546388201376,-1.5361490625147,0.00891176101418351,0.0445588050709175,0.0309566435229532,3960,"tags=32%, list=21%, signal=25%","Arfgap1/Pop4/Ddx10/Eif4a1/Sec31a/Kif5b/Chac1/Igfbp1/Npm1/Sdad1/Xbp1/Calr/Tatdn2/Stc2/Nop14/Atf4/Tspyl2/Srpr/Hyou1/Edem1/Spcs3/Mtrex/Imp3/Dkc1/Spcs1/Herpud1/Exoc2/Exosc10/Exosc1/Hsp90b1/Eif2ak3/Zbtb17/Eef2"
